-999,-62.5,-72,-61,-79.5,-63.5,-82.5,-60,-60.5
-62.5,-999,-66.5,-75.5,-78,-81,-999,-79,-85.5
-72,-66.5,-999,-74.5,-75,-85.5,-999,-72.5,-76.5
-61,-76,-75,-999,-69.5,-74,-999,-62,-66.5
-78.5,-77.5,-74.5,-69.5,-999,-75,-999,-82,-84.5
-63.5,-80.5,-85.5,-73.5,-76,-999,-999,-44.5,-50
-73.5,-84,-82,-68.5,-72.5,-59.5,-999,-61.5,-53.5
-60,-80,-73,-62,-82.5,-44.5,-999,-999,-36
-60.5,-85.5,-76.5,-67.5,-85.5,-50.5,-999,-36,-999

-999,-62.5,-63,-61,-61,-61,-999,-61,-61
-62,-999,-66.5,-75.5,-78,-999,-82.5,-78.5,-83
-72,-66.5,-999,-74.5,-75.5,-999,-83,-72,-77
-60.5,-75.5,-75,-999,-70,-74,-68.5,-63,-67
-79,-77.5,-74.5,-69,-999,-74,-71.5,-87,-84
-63.5,-83.5,-87.5,-75.5,-75,-999,-60,-43.5,-49.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-59.5,-78.5,-72,-62.5,-88.5,-43.5,-60.5,-999,-36
-60.5,-85.5,-77.5,-66.5,-85,-49.5,-55.5,-35.5,-999

-999,-88,-88.5,-75.5,-89,-88.5,-89,-88.5,-89
-63.5,-999,-66,-75.5,-75.5,-79.5,-999,-80,-79.5
-72,-66.5,-66,-74.5,-74.5,-73.5,-999,-73,-73
-61,-75.5,-75.5,-999,-69.5,-64.5,-999,-64.5,-64.5
-79.5,-77.5,-77.5,-69,-69,-87.5,-999,-87,-87.5
-65.5,-83,-82.5,-73.5,-74,-45.5,-999,-46,-45.5
-81,-82.5,-82,-67.5,-69,-62,-999,-62,-62
-58.5,-78,-78,-62.5,-62.5,-62.5,-999,-999,-63.5
-60.5,-83,-83.5,-66.5,-66.5,-37.5,-999,-37.5,-37.5

-999,-81.5,-81,-82,-88.5,-81.5,-82.5,-60.5,-83
-62,-86,-86,-91,-85,-86,-999,-86,-86
-72,-83,-83,-999,-83.5,-83.5,-83.5,-83,-83.5
-61,-78,-77.5,-999,-77.5,-78,-77.5,-78,-78
-79.5,-85.5,-85.5,-85,-999,-86.5,-86,-86.5,-86
-65,-82.5,-83,-999,-83,-83,-83,-83,-82.5
-79,-80.5,-80.5,-85.5,-80.5,-80.5,-81.5,-81,-81
-59,-92.5,-92,-78.5,-92.5,-92,-93,-91.5,-92.5
-60.5,-93,-91.5,-83.5,-91.5,-92,-93,-67,-67

-999,-62.5,-83.5,-61.5,-61.5,-77,-999,-61,-60.5
-62.5,-84,-84,-83.5,-85.5,-84,-84,-79,-83.5
-72.5,-87,-86,-88,-83.5,-87.5,-87,-73.5,-87.5
-61.5,-70.5,-70,-70,-78,-70,-70,-64.5,-70
-80,-73.5,-74.5,-73.5,-999,-73.5,-73,-84.5,-73.5
-64,-61.5,-61.5,-61.5,-83,-61.5,-61.5,-46,-61.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-58.5,-61.5,-61,-61.5,-999,-61,-61,-999,-60.5
-61,-55.5,-55.5,-55.5,-92.5,-55.5,-55.5,-37.5,-54.5

-999,-69.5,-69.5,-69.5,-91,-69.5,-69.5,-69.5,-69.5
-62.5,-999,-77.5,-76,-76,-999,-999,-80,-81
-71.5,-66,-999,-75.5,-75,-999,-999,-74.5,-77.5
-60.5,-75.5,-86,-999,-69.5,-82.5,-83,-65,-67.5
-79.5,-77.5,-85.5,-70,-70,-86.5,-86.5,-85.5,-84
-64,-82,-999,-76,-76,-72.5,-72.5,-49.5,-46
-85.5,-83.5,-999,-70,-70,-72,-999,-62.5,-52.5
-58,-78,-83.5,-63.5,-63,-73,-73,-999,-36
-60.5,-81.5,-90,-68.5,-68.5,-65.5,-65.5,-38,-999

-999,-78,-78,-78.5,-78,-78,-78,-78,-78
-62,-85.5,-85.5,-85.5,-89.5,-85.5,-86,-85,-86
-71.5,-85,-85,-85.5,-86,-85.5,-85,-84.5,-84.5
-60.5,-87.5,-87.5,-999,-80.5,-87.5,-88,-87,-88.5
-79,-79.5,-88,-79.5,-999,-79.5,-79,-79.5,-79
-63.5,-87,-86.5,-86.5,-85.5,-86,-86,-85,-85.5
-74.5,-81.5,-81.5,-81.5,-87,-81.5,-81.5,-81.5,-81.5
-57.5,-74.5,-75,-75,-999,-74.5,-74.5,-74.5,-75
-59.5,-80,-80.5,-80.5,-89,-81,-81,-81,-81.5

-999,-73.5,-82,-83,-82.5,-83,-83.5,-83.5,-83
-62.5,-85.5,-85.5,-86.5,-86,-999,-999,-999,-999
-72,-84.5,-85,-85,-84.5,-999,-999,-999,-999
-60.5,-87,-87.5,-87.5,-88,-88.5,-88,-88,-88.5
-79.5,-87,-87.5,-87,-89,-87.5,-87.5,-87.5,-88
-64,-74.5,-74.5,-74.5,-74.5,-999,-74.5,-74.5,-74.5
-73.5,-71.5,-71.5,-71,-71.5,-71,-71.5,-71,-71
-57,-60.5,-61,-61,-61,-61,-61,-61,-60.5
-61.5,-61.5,-61,-61,-61,-61,-61,-61,-61

-999,-62,-62,-61.5,-62,-62,-62,-62,-62
-62.5,-999,-76.5,-84,-999,-999,-89.5,-999,-999
-71.5,-76.5,-999,-83,-999,-999,-90,-999,-999
-61,-85.5,-84.5,-999,-86.5,-91,-92.5,-91.5,-91.5
-80,-88,-84.5,-92,-91.5,-92.5,-999,-93,-91
-64.5,-999,-999,-82.5,-91,-999,-67,-67,-62.5
-73,-89.5,-88.5,-75.5,-75.5,-75.5,-75.5,-75.5,-75
-57.5,-89.5,-85,-64,-63.5,-64,-64,-64,-63.5
-61.5,-999,-88.5,-66,-66,-66.5,-66.5,-66,-66.5

