-999,-62,-61,-59,-51,-61.5,-50.5,-65.5,-999,1.5,1.5,0,940.5,3.5,1.5,0.5,-7.5,3,-8,3,939,
-62.5,-999,-45,-65,-58,-83,-73,-82,-999,1.5,-1,4,4,940.5,-14,6.5,-1,17.5,14.5,22,939,
-60,-44.5,-999,-62,-58,-75,-72.5,-71,-999,1.5,-14,1,1.5,-14,940.5,3.5,-0.5,13.5,11.5,11,939,
-59.5,-66,-62.5,-999,-54.5,-65,-78,-77.5,-999,1.5,-5,4,1,7.5,4,940.5,-5,6.5,12,14,939,
-53.5,-57.5,-58.5,-53.5,-999,-74,-64,-75.5,-999,1.5,-7.5,9,-5,-1,-3.85731e-15,-5,940.5,15.5,5,15.5,939,
-69.5,-76,-72,-65.5,-80.5,-999,-69.5,-56,-999,1.5,-4,7,11,17.5,13.5,7,22,940.5,11,-4,939,
-59,-76.5,-70,-70.5,-63.5,-72.5,-999,-58.5,-999,1.5,-8,9,0.5,18,11.5,12,5,14,940.5,-1.5,939,
-61.5,-85,-71.5,-72.5,-76.5,-57.5,-58.5,-999,-999,1.5,-1.5,6,3,26.5,13,14,18,-1,-3.85731e-15,939,939,
-999,-999,-999,-999,-999,-999,-999,-999,-999,1.5,1.50142,0,940.5,940.5,940.5,940.5,940.5,940.5,940.5,939,939,

-999,-72,-73,-73.5,-73.5,-60.5,-60.5,-60.5,-999,1.5,1.5,0,940.5,1.5,2,2.5,-6,-8.5,-8,2,940.5,
-60,-999,-53.5,-61,-50.5,-62,-67,-70,-999,-0.8,-17.5,4,1.5,934.3,-14,-4.2,-17.5,-2.7,2.3,4.8,934.3,
-60.5,-53.5,-999,-61.5,-66,-66,-77,-78,-999,-14,-4,3,2,-11.2,931.5,-4,-2,0.5,9,12.5,931.5,
-61,-60.5,-63.5,-999,-50.5,-58.5,-57.5,-67.5,-999,-4.7,-5.8,5,2.5,-4.2,-4,935.2,-17.5,-5.8,-5.8,2.7,935.2,
-52.5,-51,-66.5,-49,-999,-64,-65,-66,-999,-7.5,-17.5,3,-6,-13.7,-1,-14.8,931,-3.5,-1.5,-2,931,
-50,-62,-68,-58,-64.5,-999,-63,-63,-999,-3.8,-8.5,9,-8.5,-2.7,0.5,-5.8,-3.5,937.7,1.7,2.2,937.7,
-50.5,-67,-76.5,-58,-66.5,-63,-999,-67.5,-999,-8,-5.8,3,-8,2.3,9,-5.8,-1.5,1.7,940.5,8.5,940.5,
-63.5,-69.5,-80,-66.5,-66,-63.5,-67,-999,-999,-1.3,-2,4,5,4.8,12.5,2.7,-2,2.2,8.5,940.5,940.5,
-999,-999,-999,-999,-999,-999,-999,-999,-999,1.5,1.50142,0,940.5,934.3,931.5,935.2,931,937.7,940.5,940.5,940.5,

-999,-68,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-999,1.5,1.5,0,940.5,2,-10,-1,1.8,-5,-12,6.7,925,
-60.5,-60,-60.5,-60.5,-60,-77,-77.5,-77.5,-999,-17.5,-12.7,4,2,-5.7,-17,-8,-12.7,0.3,9.3,11.3,925,
-63.5,-78.5,-79,-79,-79.5,-86,-86,-85.5,-999,-3.8,-2.5,6,5,12.8,1.5,-18,-25,-11.5,-2.5,-0.5,921.5,
-61,-59,-59.5,-59.5,-59.5,-65,-65,-65,-999,-5.7,-12.5,4,2.5,-6.7,-18,-9,-12.5,-2.5,6.5,4.2,925,
-60.5,-53,-52.5,-56,-999,-76,-76,-75.5,-999,-17.5,-25,2,2,-12.7,-25,-12.5,933.3,0.3,9.8,11.8,925,
-53.5,-66,-66,-66,-66,-72.5,-72.5,-72.5,-999,-8.5,-11.5,2,-5,0.3,-11.5,-2.5,0.3,10.6,8.1,11.7,925,
-46.5,-75,-75,-75.5,-75.5,-70,-999,-70,-999,-5.7,-12,9,-12,9.3,-2.5,7,9.8,8.1,940.5,9.2,925,
-66.5,-77,-77,-77.5,-77.5,-75.5,-76,-76,-999,-1.9,-0.5,2,8,11.3,-0.5,9,11.8,13.6,17.5,15.2,925,
-999,-999,-999,-999,-999,-999,-999,-999,-999,1.5,1.50142,0,940.5,933.3,921.5,930.5,933.3,937.1,940.5,938.2,925,

-999,-86,-66.5,-85,-84.5,-67,-67,-65,-999,1.5,1.5,0,940.5,1.5,-18.4,-3.85731e-15,3,-0.5,-8.5,-12.5,935.2,
-60,-73.5,-73.5,-73.5,-73.5,-73.5,-73.5,-73.5,-999,-12.7,0.5,6,1.5,1,-11.4,-6.5,-4,-9.5,0.5,-4,926.5,
-62,-75,-75,-74.5,-74,-74.5,-74,-73.5,-999,-2.7,-18.4,9,3.5,2.5,-9.9,-18.9,-15.9,-21.9,-11.9,-14.9,914.1,
-58.5,-66,-66,-65.5,-65.5,-65.5,-65.5,-65.5,-999,-12.5,-6.5,4,-3.85731e-15,-6.5,-18.9,-5.8,-6.5,-8.8,1.2,-12,927.7,
-61.5,-68.5,-69,-68.5,-68.5,-68.5,-68,-68,-999,-24.9,-9.5,5,3,-4,-15.9,-2.8,-3.5,-9.5,0.5,-9.5,927,
-58,-63,-63,-62.5,-62.5,-999,-62.5,-62.5,-999,-11.3,-9.5,1,-0.5,-9.5,-21.9,-8.8,-9.5,938.6,4,-15,935.2,
-50,-73,-73,-72.5,-72.5,-73,-72.5,-72.5,-999,-12,-8.5,9,-8.5,0.5,-11.9,1.2,0.5,12.6,14,-5,935.2,
-69.5,-70,-70,-69.5,-70,-70,-69.5,-69.5,-999,-0.4,-12.5,9,11,-2.5,-14.9,-1.8,-2,9.6,11,-8,921.5,
-999,-999,-999,-999,-999,-999,-999,-999,-999,1.5,1.50142,0,940.5,926.5,914.1,927.7,927,938.6,940.5,921.5,935.2,

-999,-70,-87,-70.5,-71,-70.5,-71,-76.5,-999,1.5,1.5,0,940.5,1.5,2.5,0.8,-3.85731e-15,-2,-6,3.8,936.3,
