1.5,-7,-4.5,-13,-14,-14.5,2.5,-0.5,-2.5,
1.5,-23.5,-11.5,-6,-14.5,-7.6,-8,1.50142,-5,
1.5,-23.8,-13.3,-1,-14.5,-5,-7.8,2,1,
1.5,-6.8,-23.3,-4.7,-14.5,-13.8,-2.3,-20.6,-11.3,
1.5,-8.8,-11.2,-30.8,-37.1,-17.1,-17.2,-23.2,-12.8,
1.5,-18.1,-11.4,-16.1,-14.5,-12.6,-27.4,-15.1,-15.1,
1.5,-13,-14.5,-5.9,-23.4,-4,-7,-5.5,-7.8,
1.5,-4.4,-13.9,-22.4,-15,-5.9,-16.9,-7.4,-7.4,
1.5,-19,-17.5,-3,-5.5,-15.9,-7.4,-3,-1.3,
1.5,0.5,-0.9,-5.9,-14,-1.6,0.1,-2.9,-2.4,
1.5,-4,-12.5,-6,-14.5,-10.5,0,-17,-15.5,
1.5,-15.1,-5.5,-17,-14.5,-25.5,-11.5,0.2,0.9,
1.5,-5.5,-21,-21.4,-14.5,3.5,-5.4,-0.3,-8.5,
1.5,-17.5,-9,-20.5,-4.5,-5.5,-14.5,-2.5,-4,
1.5,-10.5,-8,-13.3,-14.5,-4,-14,-5,-8.5,
1.5,-12.8,-4.5,2.2,-14.5,-2,-2,-16,-2.89298e-15,
1.5,2,-7.8,-3.4,-14.5,-3,-9.5,-3.9,-1.5,
1.5,-4.3,-11.8,-13.3,-14,-2.8,-7.3,-5.8,-3.9,
1.5,-6.3,-13,-16.7,-14.5,2.7,-7,2.7,-0.8,
1.5,-16.9,-20.4,-14.8,-14.5,1.5,-8.8,-4.3,-11.8,
1.5,-14.8,-15.8,-13.3,-15,-3.3,-10.8,-5.1,-12,
1.5,-5.3,-14,-9.9,-14.5,1.5,-8,-15.9,-17.4,
1.5,-2.3,-6.8,-7,-14.5,-8.9,-16.4,-7.3,-8.8,
1.5,-0.5,-20.8,-13.3,-15,-0.9,-7.3,1,2.2,
1.5,-24.8,-14,-12.3,-15,1,-8,1,-0.3,
1.5,-5.3,-14,-7,-14.5,4.2,-8,3.7,-17.8,
1.5,2.7,-6.8,-7,-15,2.2,-16.3,-21.8,-7,
1.5,1.92865e-15,-24,-14,-15,-18.3,-8.5,1,1,
1.5,-7,-24,-27.3,-15,-13,-7.5,2,-8.5,
1.5,-22.9,-14,-25.4,-0.5,8.5,-7.5,8.5,-22.2,
1.5,-24.4,-10.7,-6,-15,-7.2,-17.9,6,-16.2,
1.5,8.9,-0.9,-0.7,-14.5,5.5,-23.9,-7.7,1.5,
1.5,-6.7,-10.7,-22.7,-20.7,-7.2,-16.2,-21.8,-6.7,
1.5,-21.7,-13.3,-15.4,-14.5,-14.3,-15.2,-5.8,-3.8,
1.5,-9.9,0.2,-9.5,-15,-0.2,-1.4,7.2,2.8,
1.5,-8.2,-10.5,-8.7,-15,6.3,-2.7,-18.2,-9.3,
1.5,-1,-21,-14,-14.5,-14.7,-8.7,-2.8,1.8,
1.5,-13,-6.8,-7,-14.5,2.2,-6.5,1.2,-2.9,
1.5,1.92865e-15,-13.8,-20,0.5,9,-7.3,9,-18,
1.5,-29.2,-5.5,-19.2,-15,-2.5,-17,-6.5,-0.5,
1.5,-0.5,2,1.5,-14.5,5,3.5,4.5,0.5,
1.5,-15.8,-9.8,-7.3,-15,-2.3,1.5,-25.8,-4.5,
1.5,-0.9,-34.5,-14,-15,-22.8,-8,0.5,2.5,
1.5,-13.5,-7.5,-17.2,-15,6.2,-7,5.7,-3.3,
1.5,-16.8,-2.8,-34.4,-31.9,5.7,1.2,0.2,-30.9,
1.5,-27.4,-24.1,-32.9,-15,-15.1,-26.4,-15.1,5.5,
1.5,-30.9,-19,-8.9,0.6,-5.5,-5.5,-16.9,-5.9,
1.5,-7.5,4.5,-4.5,-15,3.6,-0.5,-6.4,-3.7,
1.5,-8,-3.5,-7,3,5.5,-1.2,-28.1,-16.5,
1.5,3.5,-3.5,-15.5,-15.5,-39.9,-28,0,5,
1.5,-15,-28.4,-30.9,-24.9,0,5.5,-1.4,-2.89298e-15,
1.5,-16.6,-23.4,-29.6,-3.4,-8.4,-17.4,-8.9,-7.4,
1.5,-18.5,-3.9,-6.4,-15,-0.9,-10.5,-12.5,-9.4,
1.5,2.5,-14.4,5.6,-1.4,-3.5,-0.7,-7.5,-20.4,
1.5,3.7,-7.4,-19.4,-15.5,0.2,-28.4,-11,4.7,
1.5,-29.7,-28.4,0.3,-24.4,-4.4,3.8,5.6,5.7,
1.5,-9.3,-2.8,-23.3,-15,-8.3,-16.8,-8.8,0.6,
1.5,-19.7,7.1,-12.2,2.1,4.3,-4.2,-26,-25.4,
1.5,-10.4,-12.4,-24.4,-14.5,-24.9,-23.9,5.3,5.8,
1.5,-21.8,-14.3,-21.9,-31.7,-4.7,-22.3,6.8,2.3,
1.5,-14.9,-30.1,-21.2,-14.5,-6.4,-23.6,-7.4,-3.9,
1.5,-17.1,-7.8,-0.1,-20.6,-0.9,2.7,-21.8,0.7,
1.5,0.9,-7.8,2.5,-14.5,-16.3,6.7,1.2,-19.5,
1.5,6.7,3.7,-13.7,-1.2,-19.9,-16.2,-3.1,-3.3,
1.5,-5.8,-0.8,-39.2,-14.5,3.2,-23.5,1.2,6.2,
1.5,-30.4,-43.9,-3.1,-26.1,6.9,-17.3,6.4,-5.1,
1.5,5.9,-25.2,-16.3,-14,-9.2,-17.2,3.3,-6.2,
1.5,-14.4,6.4,1.8,-15.1,-4.4,4.4,-29.1,-32.4,
1.5,-1.5,-13.5,-31.6,-29.6,-27.8,-27.6,3.5,-23.9,
1.5,-25.1,-28.5,-48.4,-14.5,8,-9.2,-9.2,-10.1,
1.5,-30.9,-2.9,-17.9,-9.9,-0.4,-7.9,-3.4,-1.9,
1.5,-16.9,-0.3,-6.9,-14,6,-8.4,-15.9,-20.9,
1.5,-18,-12,-9.5,-18.3,-13.4,-19.3,-27.1,5.9,
1.5,-10.2,-27.8,-18.8,-14.5,-35.4,-1.7,3.3,0.7,
1.5,-4.8,0.7,-30.9,-19.9,15.5,-3.8,-3,3,
1.5,-3.6,-19.2,-30.6,-14.5,-2.7,-9.7,-0.2,-27.4,
1.5,-27.6,2.7,-27.6,-11.9,2.1,-24.9,4.7,3.6,
1.5,-25.4,-10.9,-27.9,-14.5,2.5,-1.9,-2.7,-18,
1.5,-25.4,-8.9,-2.4,0.1,9,4.1,-8.4,3,
1.5,-1.8,1,2,-14,-7.9,7.2,-0.9,-10.4,
1.5,-8.5,-12.5,-5.9,-14.5,3.85731e-15,-2.5,-23.9,-12.5,
1.5,-1.8,-34.3,-14.8,-14,-20.7,-6.3,7.3,-18.9,
1.5,-14.8,-0.5,-19.3,-14.5,3,-19.9,0.5,1.5,
1.5,-8,-8.2,-20.2,-12.2,-10.9,-8.9,-6.5,-30.9,
1.5,-7.7,-18.6,-30.6,-4.7,8,-20.6,-5.7,-0.1,
1.5,-28.6,-18.1,-18.1,-14.5,-6.6,-23.1,-8.6,-19.6,
1.5,-13.7,-4.8,-17.6,-20.2,-7.5,-15.1,-2.1,-4.1,
1.5,-17.2,-19.7,-14.5,-15,-1.2,-7.7,-19.9,-8.7,
1.5,-10.3,-10.5,-3.7,-14.5,-16.7,0.7,0.7,-0.7,
1.5,-0.8,-14.3,-16.9,-15,2.7,-4.8,0.2,-16.7,
1.5,-29.9,-14,-16.4,-14.5,2,-31.9,-0.5,-9.9,
1.5,-15.4,-3.9,-30.6,-28.1,2.2,-7.9,0.7,4.6,
1.5,-18.6,-26.4,9.5,-15,-14.6,-22.6,-28,-5.5,
1.5,3.3,-2,-9.7,-19.7,-25.4,-0.2,-2.4,9.2,
1.5,-7.2,5.8,-17.9,-15,10.2,-10.7,-9.6,-18.9,
1.5,-19.9,-21.5,-14.4,-23.4,3.6,-15.9,1.1,1.6,
1.5,-16.8,-25.9,-13.3,-15,2.1,2.5,-6.2,6.2,
1.5,-4.3,-6,8.2,-15,2.9,5.2,-16.7,-18.5,
1.5,-13.4,-14.5,-18,-9.9,-15.9,-15.5,-15.9,-24.9,
1.5,-17.5,-5.5,-24.4,-15,-1.9,-21.9,-2.5,2,
1.5,-21.8,-6,-1.9,-16.3,-7.9,2.6,-4.9,-5.3,
1.5,-0.9,-6.4,2,-15,-4.2,-4.5,-2.5,-4.5,
1.5,1,-3.5,7.2,-15,4.5,6.4,-18.8,5.4,
1.5,-18,-2,-18.5,-14.5,-15.8,-18.5,-0.5,-26.5,
1.5,-15.5,-21.8,-23.3,-26,-7.9,-23.4,-4.5,-11,
1.5,-10.4,-12.9,-22.9,-14.5,-6.9,-15.4,-9.4,-2.9,
1.5,-19.7,-15.7,-8.7,-8.7,3.8,9.2,-1.5,-7.8,
1.5,-2.89298e-15,4,-12.4,-14.5,8,-5.4,-2.9,-4.9,
1.5,2,-7.3,5.1,-14.5,3.9,-3.5,-16.7,1.3,
1.5,-1.3,-14.3,-13.3,-15,-17.4,-6.8,0.2,2,
1.5,-14.3,-16,-18.4,-15,3.7,-4.3,1.2,-3.9,
1.5,-15.3,-5.8,-17.3,-5.3,2.2,-10.8,1.2,-1.3,
1.5,-16.3,-4.3,-10.4,-14.5,-0.8,-9.8,-1.8,-6.5,
1.5,-5.8,-14.8,0.7,-15,2.7,-1.8,-5.9,-1.2,
1.5,-2.5,-21,-14.5,-14.5,1,-8,-22.4,-3.8,
1.5,-9.8,-1.8,-13.8,-15,-19.5,-7.3,0.7,-10.3,
1.5,-2,4.5,-16.7,-14.5,2.7,0.1,1.2,-17.5,
1.5,-9.4,-13.8,-16.4,-15,-0.9,-10,-9.3,-1.3,
1.5,-18.9,-14.5,-15.9,-14.5,-9.2,-9.9,-1.4,3.1,
1.5,-15.4,-3.4,-9.3,-14,0.6,-9.4,-0.4,-0.3,
1.5,-9.2,-13,-8.7,-15,6.3,-2.7,-17.4,-13.3,
1.5,-15.5,-21.5,-9,-14.5,-23.9,-19.8,-22.4,-4,
1.5,-15,-1.8,-20.2,-30.2,-29,-1.5,0.7,-19,
1.5,-19.7,-29,-16.8,-7.2,1.2,-22.3,8,-20.5,
1.5,-12.9,4.6,-1.4,-14.5,-1.9,-16,0.5,1.6,
1.5,1,-11.8,0.6,-15,-3,3.5,-16.2,-26.3,
1.5,1.2,-5,2.5,-14.5,-6.4,-22.8,-2.4,2,
1.5,-10.2,-7.3,-25.5,-19.7,-6.7,-16.2,-7.7,-1.2,
1.5,-17.6,-16.7,-26.8,-45.6,-1.2,-9.5,-1,-24.7,
1.5,-19.4,-15.4,-22.9,-14,-3.8,-14.9,-5.3,0.7,
1.5,-20.7,-12.7,5.2,-6.2,-4.5,2.2,-16.7,-1.7,
1.5,-8.7,1.4,1,-15,0.1,4.2,-3.2,1.6,
1.5,-11,4,0,-15,-3.6,1,-17.1,-13.2,
1.5,3.5,-11.5,-23,-15,-16.1,-22.7,-4.5,5.5,
1.5,-19.7,-17.5,-25,-25.2,-13.4,-16.2,-7.7,-7.5,
1.5,-27.4,-13.4,-24.4,-15,-8.9,-17.9,-9.9,-5.9,
1.5,-21.3,-14.3,0.1,-8.3,7.2,0.1,-3.2,-1,
1.5,-15.9,4.2,1,-15,2.6,-21.4,-2.4,-0.9,
1.5,-15.5,-8.5,7.5,-18,3.7,-20.5,-15.5,-8.3,
1.5,-8.5,-15.5,-19.5,-15,-13.5,-13.5,-13.9,-1.5,
1.5,-16.2,-2.5,-16.2,-6.7,-1.4,-8.2,-2.5,4.5,
1.5,-9.9,-3.9,-15.9,-14.5,-0.4,-9.9,-1.4,-3,
1.5,-4.8,-9.3,0.1,-15,-5.8,-9.3,-11.9,1.8,
1.5,-3,-8.5,-9.2,-15.5,-5.9,-3.2,-3.3,8.2,
1.5,-7.2,-13,-8.7,-15,-2.1,-3.2,2.3,2.3,
1.5,-2,-8,-9.3,-15,8,-7.5,7,4,
1.5,-5.7,-3,-6.5,-15,1.5,-3.2,-1.92865e-15,-8.5,
1.5,-5.5,-9.5,-14,-15,0,1.92865e-15,5.1,-7.5,
1.5,-13,-11.5,-14,-15.5,2.5,-7,1,3,
1.5,-10.5,-15,-13,-15.5,-2.89298e-15,-8.5,-0.5,-8.7,
1.5,-3.5,-14,-7,-15.5,2,-9,-1,1.2,
1.5,-6,-9,-14,-15,-0.5,-9,-4.4,-8.5,
1.5,-12.5,-24,-14,-15,1,-8,1.5,-8,
1.5,-13,-8,-14,-15.5,0.5,-8,-0.1,-2.5,
1.5,-7.5,-15,-7,-15,3.85731e-15,-9.5,-0.5,-20.7,
1.5,-1,-13.5,-19.3,-9,7.5,-18.3,-11.5,-2.5,
1.5,-28,-7.5,-18,-15,-10.3,-2,-1,3.85731e-15,
1.5,-15.5,-5,-0.3,-8,-1,8,9.2,-3.5,
1.5,4,-7,2.5,-15,2.5,-2,-2.4,-2,
1.5,-10.5,-2.5,6,-15,2.7,2.6,-10.5,0.3,
1.5,-18.5,-35,-14.5,-15,-5.4,-10,-1.92865e-15,-27,
1.5,-14.4,-3,-25.4,-15,-1.5,-25.4,-1.92865e-15,4.5,
1.5,-22.9,-12.9,-24.4,-20.4,-11.9,-20.4,-10.4,-31.4,
1.5,-19.8,-12.3,-19.4,-15,-13.9,-15.6,-9.8,1.9,
1.5,-4.2,-4,-3.4,-15.5,1.2,-4.1,-11.7,3.3,
1.5,-11,1,-3.3,-15.5,4.2,1.2,-16.7,-5.8,
1.5,-8,-19.5,-12.5,-15.5,-21.4,-9.7,8.2,9.2,
1.5,-14.5,-17.5,-18.5,-15.5,1.5,-6.5,3,6.5,
1.5,-13.5,-9,-17,-15.5,-4.5,-12.5,-1.5,-16.2,
1.5,-5.5,-8.5,-11,-15.5,-2.4,-10.5,-7.8,-10.5,
1.5,-3.9,-3.5,-8.9,-15,3.6,-3.4,-6.5,8.6,
1.5,-5.5,-12,-7,-15,-5,-1.5,-4,-7,
1.5,-11,-13,-11.2,-15.5,2.2,-1,2.2,2.5,
1.5,-8.3,-4,-10.3,-15,-2,-5.3,-1,-9,
