-999,-84,-83,-83,-83.5,-91,-83.5,-90,-83.5,1.5,1.5,0,940.5,-7,1.5,-13,-14,9,2.5,-0.5,-2.5,
-51.5,-91.5,-53.5,-999,-91,-60.5,-91,-999,-999,1.5,-7,9,-7,33,-5,7,24.5,2,5.5,8.5,8,
-60,-89,-89,-88.5,-89.5,-60.5,-90,-999,-999,1.5,-4.5,3,1.5,30.5,30.5,-4.5,24,2,26,14.5,26,
-45.5,-65.5,-54,-90,-65.5,-44,-66,-999,-66,1.5,-13,9,-13,7,-4.5,31.5,7,-14.5,7.5,35,6,
-44.5,-83,-82.5,-90.5,-83,-89,-83,-999,-64.5,1.5,-14,9,-14,24.5,24,32,24.5,23,5.5,8.5,4.5,
-67.5,-82,-81,-89.5,-81.5,-81.5,-89.5,-90,-999,1.5,-14.5,3,9,23.5,22.5,31,23,23,10.5,30,7.5,
-61,-64,-84.5,-999,-64,-69,-64,-999,-64.5,1.5,2.5,9,2.5,5.5,26,940.5,5.5,10.5,5.5,35,4.5,
-58,-67,-73,-93.5,-67,-92.5,-93.5,-999,-66.5,1.5,-0.5,9,-0.5,8.5,14.5,35,8.5,34,35,939,6.5,
-56,-66.5,-84.5,-999,-65.5,-66,-64.5,-999,-999,1.5,-2.5,9,-2.5,8,26,940.5,7,7.5,6,939,939,

-999,-89.5,-88.5,-88.5,-89,-89,-88.5,-999,-88.5,1.5,1.5,0,940.5,0.5,3,-6,-14.5,3.5,4,940.5,0.5,
-59,-77.5,-50.5,-94.5,-78.5,-77,-78,-999,-78,-7,-23.5,2,0.5,4.5,-23.5,-5.5,6.5,15,-2.89298e-15,926,-5,
-61.5,-89,-999,-999,-88.5,-64,-88.5,-999,-89.5,-4.4,-11.5,3,3,16,925,-11.5,5.5,3.4,-8,925,5.5,
-52.5,-67.5,-62.5,-999,-67.5,-53,-67.5,-999,-67.5,-13,-6,9,-6,-5.5,-11.5,924.7,5.2,-7.6,4.8,924.7,9,
-44,-79.5,-79.5,-79.5,-79.5,-79.5,-79,-999,-79.5,-14,-14.5,9,-14.5,6.5,5.5,5.2,21,18.9,14.5,940.5,10.5,
-62,-88,-88.5,-88,-88,-88,-88.5,-999,-88,-14.3,-7.6,3,3.5,15,14.5,13.7,29.5,27.4,15.4,938.4,3.4,
-62.5,-73,-66,-999,-73,-76,-72,-999,-72,1.5,-8,2,4,-2.89298e-15,-8,924.7,14.5,15.4,9.3,936.3,9.3,
-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.6,1.50142,0,940.5,926,925,924.7,940.5,938.4,936.3,940.5,940.5,
-59,-68,-79.5,-999,-69,-64,-72,-999,-95,-2.7,-5,1,0.5,-5,5.5,924.7,10.5,3.4,9.3,940.5,36.5,

-999,-61,-61,-61,-63,-61,-61.5,-66,-61,1.5,1.5,0,940.5,-5.1,-13.3,-6.6,-14.5,2.5,-3.2,-1,-3.4,
-59,-78.5,-50.5,-999,-79,-76.5,-79,-999,-79,-23.6,-23.8,2,0.5,12.4,-23.8,0.9,11,18,6.4,3.4,14.6,
-61.5,-89,-999,-999,-89,-64,-89,-999,-88.5,-11.3,-13.3,9,3,22.9,924.7,-12.8,5.2,5.5,-7.8,1.7,4.7,
-52.5,-67,-61.5,-999,-67,-53.5,-67.5,-999,-68,-6.1,-1,4,-6,0.9,-12.8,931.4,-1,-5,2.8,931.4,3.6,
-44,-79.5,-79.5,-79,-79.5,-80,-80,-999,-79.5,-14.3,-14.5,9,-14.5,13.4,5.2,11.4,11.5,20.5,4.5,2,1,
-62,-88,-88.5,-88,-88.5,-87.5,-88.5,-999,-88,-7.6,-5,3,3.5,21.9,14.2,20.4,20.5,29,16,4.5,5.5,
-62.5,-72.5,-66.5,-999,-72.5,-74.5,-72.5,-999,-72.5,-8,-7.8,2,4,6.4,-7.8,931.4,4.5,16,7.8,18.8,7.3,
-65,-69.5,-76,-999,-70,-63,-83.5,-999,-999,1.5,2,4,6.5,3.4,1.7,931.4,2,4.5,18.8,932,932,
-59,-94.5,-79,-999,-69,-64,-72,-999,-999,-4.7,1,4,0.5,28.4,4.7,931.4,1,5.5,7.3,932,934.6,

-999,-76.5,-76.5,-63,-63,-63,-76.5,-63,-63,1.5,1.5,0,940.5,1,2.2,-5.5,-14.5,3.5,5.5,-20.6,-8.3,
-59.5,-64,-64,-64.5,-89,-64.5,-64.5,-69.5,-64.5,-23.7,-6.8,8,1,3.2,-10.3,-0.2,-10.3,-0.8,5.6,-14.1,-6.8,
-61.5,-69.5,-69.5,-69.5,-73,-70,-70,-76,-70,-13.3,-23.3,4,3,8.7,-4.8,0.2,-23.3,-13.8,-5.8,-7.6,-8.8,
-53,-75.5,-74.5,-999,-61,-60.5,-75,-67,-75,-0.8,-4.7,5,-5.5,14.7,0.2,934.3,-13.7,-4.7,3.8,-16.6,0.3,
-44,-50.5,-51,-51,-999,-51,-51,-60.5,-51,-14.3,-14.5,9,-14.5,-10.3,-23.3,-13.7,931.2,-7.5,-7.9,-23.1,-20.3,
-62,-60,-60.5,-60,-78.5,-60.5,-60.5,-63,-60,-4.7,-13.8,2,3.5,-0.8,-13.8,-4.7,10.7,2,1.6,-20.6,-11.3,
-64,-68.5,-68.5,-68.5,-66.5,-68.5,-68.5,-74.5,-69,-7.8,-2.3,8,5.5,7.7,-5.8,3.8,-1.3,10,9.6,-9.1,-2.3,
-65.5,-75,-75,-75,-76,-75,-75,-999,-75,1.5,-20.6,9,7,14.2,0.7,10.3,8.2,16.5,16.1,915.4,2.4,
-59,-65,-65.5,-65,-75.5,-65.5,-65.5,-86,-65,1.1,-11.3,5,0.5,4.2,-8.8,0.3,7.7,7,6.6,2.4,-6.3,

-999,-63,-63,-63,-63,-63.5,-63,-89,-62.5,1.5,1.5,0,940.5,-1.7,-11.3,-10.8,-14.5,-17.1,-8.3,5.3,-10.8,
-60,-65.5,-65.5,-85.5,-86.5,-86.5,-65.5,-86,-86,-6.8,-8.8,2,1.5,0.8,-8.8,11.7,6.3,5.9,-5.8,2.3,12.7,
-61,-77,-999,-72.5,-72.5,-72.5,-76,-72.5,-72.5,-23.4,-11.2,7,2.5,12.3,924.7,-1.3,-3.3,-8.1,4.7,-11.2,-0.8,
-52.5,-77.5,-77.5,-61,-61,-61,-77.5,-60.5,-60.5,-4.7,-30.8,4,-6,12.8,3.2,-12.8,-30.8,-19.6,-7.3,-23.2,-12.8,
-44,-71,-71,-43,-999,-43.5,-70.5,-60.5,-60.5,-14.3,-37.1,5,-14.5,6.3,-3.3,-30.8,936.7,-37.1,-0.8,-23.2,-12.8,
-62,-76.5,-77,-78.5,-78.5,-78.5,-76.5,-79,-78.5,-13.8,-17.1,9,3.5,11.8,2.7,4.7,16.2,-2.1,-14.1,-5.1,-5.6,
-62,-81,-81,-66.5,-66.5,-66.5,-81,-66.5,-66.5,-2.3,-17.2,7,3.5,16.3,6.7,-7.3,4.2,-14.1,9.7,-17.2,-6.8,
-65,-90,-91,-76,-76,-75.5,-90.5,-76,-75.5,-20.6,-23.2,4,6.5,25.3,16.7,2.2,13.7,-5.1,19.2,-7.7,-8.2,
-59,-92,-92.5,-75.5,-75.5,-75,-71,-75.5,-75,-11.3,-12.8,4,0.5,27.3,18.2,1.7,13.2,-5.6,-0.3,-8.2,1.7,

-999,-83.5,-83.5,-84,-84,-82.5,-80.5,-83.5,-84,1.5,1.5,0,940.5,-7.6,-10.4,-6,-14.5,-0.7,4,6.5,0.5,
-59.5,-76,-91.5,-89,-90.5,-90,-87,-92,-85.5,-8.5,-18.1,2,1,-15.1,-18.1,-30.1,-8.6,-12.6,-24.1,-15.1,-15.1,
-61,-73,-72.5,-72.5,-72.5,-73,-72.5,-999,-72.5,-11.3,-11.4,4,2.5,-18.1,-21.4,-32.9,-11.4,-15.4,-27.4,-17.9,-17.9,
-52.5,-61,-61,-61,-61,-61,-61,-90,-60.5,-31.1,-16.1,4,-6,-30.1,-32.9,-16.1,-16.1,-22.2,-11.8,-1.1,-22.9,
-44,-82.5,-82.5,-82.5,-999,-82.5,-82,-83,-82,-33.9,-14.5,9,-14.5,-8.6,-11.4,5.4,921.9,-0.7,-10.1,-0.6,-1.6,
-62,-78.5,-78.5,-78.5,-79,-78.5,-78.5,-86.5,-78,-17.1,-12.6,1,3.5,-12.6,-15.4,1.4,1.9,-4.7,-16.2,-7.2,-7.2,
-62.5,-67,-66.5,-66.5,-67,-67,-67,-999,-66.5,-17.1,-27.4,2,4,-24.1,-27.4,-10.6,-10.1,-16.2,-5.8,3.2,-16.9,
-65,-76,-76,-76,-76.5,-76,-76,-999,-76,-23.2,-15.1,1,6.5,-15.1,-17.9,-1.1,-0.6,-7.2,3.2,932.2,-7.4,
-59,-76,-76,-76,-75.5,-76,-76,-999,-75.5,-12.8,-15.1,1,0.5,-15.1,-17.9,-1.1,-1.6,-7.2,3.2,932.2,-7.9,

-999,-63,-63,-63.5,-63,-78.5,-90,-63,-63.5,1.5,1.5,0,940.5,-13,-11.3,-9.2,-23.4,3.5,3.5,-5.5,-7.8,
