-999,-71.5,-73,-73,-59.5,-63.5,-64.5,-61.5,-76
-71,-999,-56.5,-73,-77,-66,-71.5,-72.5,-90
-72.5,-56.5,-999,-69,-89.5,-68.5,-80,-71,-999
-73,-74,-69.5,-999,-72.5,-62.5,-72.5,-72.5,-81
-58,-77.5,-89,-72.5,-999,-64,-65,-61.5,-63
-64.5,-66,-68,-61.5,-64,-999,-59,-42,-72.5
-64.5,-72,-81,-73,-65.5,-59.5,-999,-71,-69
-60.5,-72,-70.5,-72.5,-61.5,-42.5,-70,-999,-62
-75,-88.5,-999,-81,-61.5,-73,-68,-61.5,-999

-999,-71.5,-64,-60,-62.5,-66,-61.5,-67.5,-63.5
-72.5,-999,-52.5,-57,-51,-62.5,-72.5,-87,-72
-63,-52,-999,-57,-61,-62,-69.5,-71,-68.5
-59.5,-57.5,-58,-999,-53,-56.5,-62,-66.5,-67.5
-61.5,-50,-60,-51.5,-999,-63.5,-59,-72,-63.5
-66,-63.5,-62.5,-56,-64,-999,-66.5,-59,-68.5
-58,-999,-70.5,-62,-59.5,-67,-999,-67,-65
-68,-999,-71.5,-67.5,-73.5,-59,-67,-999,-52.5
-57,-70.5,-69,-66,-63.5,-70,-63.5,-52.5,-999

-999,-79.5,-79,-79.5,-79,-79.5,-78.5,-79,-78
-70.5,-999,-52.5,-56.5,-52,-63.5,-76,-78,-71.5
-63,-52.5,-999,-57,-61.5,-63,-70.5,-73,-69.5
-60,-58,-58.5,-999,-56.5,-57,-63,-67.5,-76.5
-61,-51.5,-61,-53.5,-999,-64.5,-61,-74,-65
-67,-63.5,-63,-56,-65.5,-999,-67,-60,-65.5
-59.5,-77,-71,-63,-60.5,-67.5,-999,-69,-68.5
-66.5,-81,-73,-67,-74.5,-60,-68.5,-999,-54.5
-61.5,-71.5,-69.5,-75,-65,-65.5,-68,-53.5,-999

-999,-71.5,-70,-70,-70,-70,-70,-70,-70
-67.5,-76,-76,-76.5,-76,-77,-77,-77,-77
-61,-77.5,-77.5,-77.5,-77.5,-78,-77.5,-77.5,-77.5
-60,-80.5,-80.5,-999,-80.5,-80.5,-80,-80.5,-80.5
-60,-71.5,-71,-71,-71,-71,-71.5,-71,-71
-62.5,-76.5,-76,-76,-76,-76.5,-76.5,-76.5,-76.5
-61,-83,-83,-83,-82.5,-82.5,-82.5,-82,-82
